Excursiones,Tipo de excursión,Descripción,Precio,Duración
Visita guiada por Lisboa con entradas,Visitas Guiadas,"Recorrido guiado por Lisboa con entradas y transporte, cruzaremos el puente Vasco da Gamma, visitaremos la... Más información",39.95,4 horas
Recorrido de un día a  Óbidos y Fátima,Excursiones de un día,"Excursión de un día a Fátima y a las ciudades de Nazaré, el pueblo medieval de Óbidos y entrada al... Más información",73.2,10 horas
"Excursión a Sintra, Cascais + Quinta da Regaleira",Excursiones de un día,"Explore Sintra  y descubra Palacios espectaculares, con entrada a la Quinta da Regaleira y visita a Cascais,... Más información",94.15,9 horas
Lisbon City Card,Pases turísticos," Esta tarjeta ofrece pases y entradas de 24, 48 o 72 horas, por lo que puede disfrutar de visitas con... Más información",20.0,De 1 a 3 días
"Tour por Sintra, Cabo da Roca, Cascais y Estoril",Excursiones de un día,Excursión a Sintra en Portugal... Más información,61.45,5 horas
Lisboa por la noche con cena y show de fado incluido,Espectáculos,"Después de cenar una cena tipica portuguesa en un restaurante con espectaculo de Fado, visite los... Más información",89.2,3 horas 30 minutos
"Tour a pie por los barrios de Alfama, Chiado y Rossio",Visitas Guiadas,"Un tour a pie que le permitirá conocer las historias de los barrios mas famosos de lisboa, Alfama, Chiado y... Más información",58.0,3 horas
Recorrido en autobús con paradas libres por Lisboa,Tours en Bus turístico,"Explore Lisboa  a su ritmo en este recorrido turístico en autobús por la ciudad, pueden subir y bajar en... Más información",27.75,flexible
Tour de medio día a Fatima,Tours a pie,Este tour a Fatima de medio dia le lleva a conocer lo mejor el Santuario... Más información,52.3,5 horas
Excursión por el Sendero Templario  y Tomar,Excursiones de un día,Esta excursión le lleva por  los lugares en los que vivieron los Caballeros Templarios hasta el final de... Más información,85.0,9 horas
"Recorrido guiado por Sintra, Cascais y el Palacio da Pena desde Lisboa",Excursiones de un día,"Visite Sintra y su Palacio da Pena de cuento de hadas,visite Cascais, Estoril y Colares, pise el punto más... Más información",80.9,9 horas
Traslados privados desde el Aeropuerto a Lisboa,Traslados Aeropuertos,Traslados desde el Aeropuerto al centro o viceversa... Más información,34.0,15 minutos
Espectáculo de fado en Lisboa: ‘Fado in Chiado’,Espectáculos,"Fado en Chiado es un espectáculo de fado en directo, una excelente manera de descubrir la cultura de la... Más información",20.8,60 minutos
Excursión de un día a Évora,Excursiones de un día,"Excursión guiada en minibús a una de las principales ciudades de la región de Alentejo, Evora, con visitea... Más información",78.95,9 horas
Paseo turístico en barco con paradas libres por Lisboa,Paseos en barco,"Paseo turístico en barco con paradas libres por Lisboa, puede subir y vajar cuando quiera... Más información",27.75,flexible
Paseo en barco por Lisboa con avistamiento de delfines,Paseos en barco,"Embarque en Lisboa en un RIB (Barco semirrígido) RIB, venga a ver delfines en el amplio Océano Atlántico... Más información",64.45,3 horas
Tour en Tuk Tuk por Lisboa,Visitas Guiadas,"Disfrute de lo mejor de dos grandes colinas de Lisboa y de un viaje único entre los orígenes de la ciudad,... Más información",76.95,Flexible
Tour guiado por Belém en segway,Visitas Guiadas,"Únase a nosotros en un paseo impresionante en segway disfrutando de vistas espectaculares, como el... Más información",88.2,2 horas 30 minutos
Hard Rock Cafe Lisboa,Experiencias Gastronómicas,Hard Rock Cafe  es el mejor descubrimiento de los tiempos modernos y le introduce en un ambiente de... Más información,27.2,2 horas
Excursión en bicicleta eléctrica a las colinas de Lisboa,Tours en Bicicleta,"Dice la leyenda que Lisboa fue construida sobre unas colinas, y con esta excursión en bicicleta eléctrica,... Más información",33.7,2 horas 30 minutos
Tour por Lisboa en Segway,Visitas Guiadas,Los segways son vehículos futuristas de auto-equilibrio sorprendentemente fáciles y divertidos de montar... Más información,43.6,1 hora 30 minutos
Arrabida  y Sesimbra Tour enológico para grupos pequeños,Excursiones de un día,Disfrute de una escapada de un día para grupos pequeños a Arrábida y Sesimbra... Más información,85.0,8 horas
Tour privado de vinos y tapas por Lisboa,Experiencias Gastronómicas,"En este tour privado de 2 horas, hemos combinado los vinos más auténticos y las mejores tapas... Más información",82.0,2 horas
Excursión de GoCar guiado por GPS por Lisboa,Alquiler de Vehículos,"El GoCar, es muy  fácil y divertido de conducir, está guiado por GPS (Sistema de Posicionamiento Global),... Más información",22.5,De 1 a 7 horas
Visita turística de 1’5 horas en el Bús anfibio de Lisboa,Tours en Bus turístico,"A bordo de nuestro vehículo anfibio, podra admirar los muchos monumentos de la Lisboa durante nuestra... Más información",30.0,1 hora 30 minutos
Arrábida Dolphins y Jeep Safari,Paseos en barco,Impresionante safari en jeep por las montañas de Arrábida y una excursión en barco para avistar delfines... Más información,95.0,8 horas
"Tres ciudades en un día: Oporto, Nazaré y Óbidos desde Lisboa",Excursiones de un día,"Tres ciudades en un día: Oporto, Nazaré y Óbidos desde... Más información",104.6,12 horas
